headlines,text
Mitsubishi in Peugeot link talks,"Trouble-hit Mitsubishi Motors is in talks with French carmaker PSA Peugeot Citroen about a possible alliance.On Tuesday Mitsubishi, the only major Japanese car firm in the red, confirmed earlier reports of negotiations.But a spokesman refused to comment on speculation that Mitsubishi could end up building cars for PSA and perhaps its Japanese rival Nissan.Mitsubishi has been hit by a recall scandal and the withdrawal of support from shareholder DaimlerChrysler"
BA to suspend two Saudi services,"""The decision to suspend flights between the UK and Saudi Arabia is a difficult one to make as we have enjoyed a long history of flying between the two countries,"" said BA director of commercial planning, Robert Boyle.British Airways is to halt its flights from London Heathrow to Jeddah and Riyadh in Saudi Arabia from 27 March.BA will now suspend the Saudi flights - which it says will remain ""under constant review"" - from 27 March.BA currently operates four flights per week from Heathrow to Jeddah, and three weekly journeys to Riyadh"
Cairn Energy in Indian gas find,"The firm, which last year made a number of other new finds in the Rajasthan area, said the latest discovery could lead to large gas volumes.Cairn has also been granted approval to extend its Rajasthan exploration area.A spokesman said the company's decision to carry out further investigations at the new find showed that it believed there was significant gas.Cairn's string of finds in Rajasthan last year saw it elevated to the FTSE 100 index of the UK's leading listed companies"
Asia quake increases poverty risk,"Nearly two million people across Asia could be thrown into poverty because of the Indian Ocean tsunami, the Asian Development Bank (ADB) has said.The ADB fears that 1 million Indonesians could join them, while in India just over half a million people - 645,000 - are at risk of falling into poverty.Sri Lanka and the Maldives are the two countries the ADB fears are most at risk of suffering lasting economic damage from the tsunami.But the economies of the affected countries except Sri Lanka and the Maldives should emerge with minimal damage,"" the ADB report said.A quarter of a million Sri Lankans and 23,500 people in the Maldives are also facing poverty.Thailand has said it does not wish to opt for a debt repayment freeze, while India has also rejected international aid, saying it can cope on its own resources.In its first overview of the disaster, the ADB said the impact on economic growth would be slight because major cities and factories escaped damage.""Poverty is potentially the most important impact of this natural disaster,"" said ADB chief economist Ifzal Ali.Sri Lanka's government has estimated reconstruction costs at nearly $3bn.Indonesia, Malaysia, Thailand and India have enjoyed strong economic growth in recent years, which should cushion them against reconstruction costs.The Paris Club of rich creditor nations on Wednesday offered to freeze debts owed by tsunami-hit countries"
Fosters buys stake in winemaker,"Australian brewer Fosters has bought a large stake in Australian winemaker Southcorp, sparking rumours of a possible takeover.Fosters bought 18.8% of Southcorp, the global winemaker behind the Penfolds, Lindemans and Rosemount brands, for 4.17 Australian dollars per share.Fosters bought the 18.8% stake from Reline Investments, the family investment firm for the Oatleys, who founded the Rosemount Estates label and sold it to Southcorp in 2001.Since then, it has paid $1bn for US wine maker Robert Mondavi, bought last month.Fosters has done a back-flip"", said Shawn Burns, a fund manger at Deutsche Asset Management.Fosters said it was currently in discussions ""which may lead to a major corporate announcement"".Analysts were divided on Thursday about whether Fosters was more likely to go for a takeover or merely wanted to take a big enough chunk of Southcorp to prevent it falling to a rival.The prospect of Fosters launching a major acquisition startled investors, as the brewer said last summer that it was not looking to expand through a big buy in the near future.Fosters' main wine business is Beringer Blass Wine Estate.Southcorp's shares have risen in recent months on speculation that it could become a takeover target"
ECB holds rates amid growth fears,"The ECB has forecast economic growth in the eurozone of 1.9% in 2005.Borrowing costs have remained on hold amid concerns about the strength of economic growth in the 12 nations sharing the euro, analysts said.ECB President Jean-Claude Trichet has remained upbeat about prospects for the region, and inflation is expected to drop below 2% later in 2005.If anything, there may be greater calls for an interest rate cut, especially with the euro continuing to strengthen against the dollar.Inflation in the eurozone, however, is estimated at about 2.3% in December, above ECB guidelines of 2%.The ECB ""may sound rather hawkish but once the data allows them to cut again, they will."
China bans new tobacco factories,"""China won't allow any new tobacco factories to be built, including joint ventures"", said Xing Wangli, a spokesman for the State Tobacco Administration Monopoly quoted in China Daily.The world's biggest tobacco consumer, China, has said it will not allow any new tobacco factories to be built.In July 2004, Bat announced it had won approval for to build a $1.5bn (£800m) joint venture factory in China which would make it the first foreign cigarette maker to manufacture there.China already has more than enough cigarette-making capacity, according to a spokesman for the tobacco industry regulator quoted in China Daily.""Xing's statement comes as especially bad news for British American Tobacco"", the China Daily newspaper said of the latest development.The State Tobacco Monopoly Administration said a week later that it had not approved the deal, leading to an embarrassing public row.The Bat spokeswoman would not comment on its progress.China has 350 million smokers who consumer 1.7 trillion cigarettes a year.The Bat spokeswoman said: ""There is nothing for us to add...since our announcement in July last year.The decision to ban further tobacco factories does not apply to deals made before 2005, according to the French news agency AFP"
UK interest rates held at 4.75%,"CBI chief economist Ian McCafferty said the economy had ""slowed in recent months in response to rate rises"" but that it was difficult to gauge from the Christmas period the likely pace of activity through the summer.Manufacturers' organisation, the EEF, said it expected the hold in interest rates to continue in the near future.""The Bank is having to juggle the emergence of inflationary pressures, driven by a tight labour market and buoyant commodity prices, against the risk of an over-abrupt slowdown in consumer activity,"" he said.The Bank of England has left interest rates on hold again at 4.75%, in a widely-predicted move.""So far the evidence suggests that last year's rate increases have helped to rebalance the economy without damaging the recovery in manufacturing,"" said EEF chief economist, Steve Radley.It also said there was evidence that manufacturers' confidence may be waning as the outlook for the world economy becomes more uncertain.Rates went up five times from November 2003 - as the bank sought to cool the housing market and consumer debt - but have remained unchanged since August.Rising interest rates and the accompanying slowdown in the housing market have knocked consumers' optimism, causing a sharp fall in demand for expensive goods, according to a report earlier this week from the British Retail Consortium.""Interest rates are likely to remain on hold for some time."
German economy rebounds,"Germany's economy, the biggest among the 12 countries sharing the euro, grew at its fastest rate in four years during 2004, driven by strong exports.Gross domestic product (GDP) rose by 1.7% last year, the statistical office said.""If exports weaken and domestic growth remains poor, we cannot expect much from 2005.""""During 2004 we profited from the fact that the world economy was strong,"" said Stefan Schilbe, analyst at HSBC Trinkaus & Burkhardt.The economy contracted in 2003.Concerns remain, however, over the strength of the euro, weak domestic demand and a sluggish labour market"
US trade deficit widens sharply,"Although China's overall trade surplus is expanding, according to Chinese government figures, the Commerce Department revealed the US's deficit with China was $19.6bn in November, down from $19.7bn the month before.Against the pound, the dollar was down about 0.7% at $1,8923.But the deficit with Japan was at its worst in more than four years.The gap between US exports and imports has widened to more than $60bn (£31.7bn), an all-time record.One small bright spot for US policy-makers was a slight decline in the deficit with China, often blamed for job losses and other economic woes.By 1650 GMT, the dollar was trading against the euro at $1.3280, almost a cent and a half weaker than before the announcement.But the numbers suggested the sliding dollar - which makes exports less expensive - has had little impact, and could indicate slowing economic growth.The trade deficit is a large part of the latter"
Trade gap narrows as exports rise,"Overall UK exports - including both goods and services - rose by more than 3.2% to £24.8bn, although total imports rose again to a new record of £27.9bn.According to the Office for National Statistics, the difference between what the UK exported and imported was £3.1bn ($5.8bn), down from October's £3.6bn.The UK's deficit with the EU fell to £1.9bn from £2.1bn, while its non-EU shortfall dropped to £2.7bn from £2.9bn in October.During November the UK exported £16.9bn worth of goods, but imported £21.5bn.The deficit for goods alone was £4.6bn, down from October's £5bn.The cumulative deficit for the first eleven months of 2004 now stands at £36.3bn, £4.5bn higher than the same period in 2003.November saw an improvement in export levels to both the European Union and the rest of the world, the Office for National Statistics (ONS) said.EU exports rose 2%, fuelled by an increase in sales of chemicals"
Lesotho textile workers lose jobs,"""We understand that some (owners)... were complaining that the South African rand was strong against the US dollar, and they were losing when exporting textiles and clothing to the United States,"" Mr Macaefa said at a news briefing in the capital, Maseru.In the mountainous country surrounded by South Africa, it is feared as many as 50,000 textile workers could lose their jobs, and Mr Mafeca said he expected more companies to leave.Six foreign-owned textile factories have closed in Lesotho, leaving 6,650 garment workers jobless, union officers told the AP news agency.The African Growth and Opportunity Act (AGOA), gave sub-Saharan countries preferential access to the US market for apparel and textile products as well as a wide range of other goods.Union leaders and trade campaigners have been warning that developing nations such as Lesotho, Sri Lanka, and Bangaldesh could lose thousands of jobs once the quotas were lifted.The assistance of a US law had given Lesotho's textiles duty-free access to North American markets"
Kraft cuts snack ads for children,"Kraft plans to cut back on advertising of products like Oreo cookies and sugary Kool-Aid drinks as part of an effort to promote healthy eating.It means commercials for some of its most famous snacks and cereals shown during early morning cartoon shows on TV will now be replaced by food and drink qualifying for Kraft's new ""Sensible Solution"" label.The largest US food maker will also add a label to its more nutritional and low-fat brands to promote the benefits.Kraft's new advertising policy, which covers advertising on TV, radio and in print publications, is aimed at children between the ages of six and 11"
Khodorkovsky quits Yukos shares,"Mr Khodorkovsky handed over his stake after the forced sale of Yukos' core oil production unit, Yuganskneftegaz to pay a giant tax bill.Mr Khodorkovsky handed over his entire 59.5% stake in holding company Group Menatep - which controls Yukos - to Leonid Nevzlin.It is also believed that Mr Khodorkovsky was particularly targeted because he had started to bankroll political opponents of Mr Putin.""Since the sale of Yuganskneftegaz, I have been delivered of (all) responsibility for the business that remains and the group's money as a whole,"" Mr Khodorkovsky said.Jailed tycoon Mikhail Khodorkovsky has transferred his controlling stake in oil giant Yukos to a business partner.Mr Nevzlin is Yukos' largest shareholder but is living in self-imposed exile in Israel"
Executive trio leave Aer Lingus,"Three senior executives of Ireland's state-owned airline, Aer Lingus, are set to leave early on 28 January after accusations of a conflict of interest.Last Friday the minister had announced he was to advertise for three senior executives for Aer Lingus.""What I do after I leave Aer Lingus is still too early to say,"" Mr Walsh told AP news agency on Wednesday.The three have refused to confirm reports they plan to launch a private airline in competition with Aer Lingus.Mr Walsh said there was no conflict of interest, and, if he was to launch a rival airline or join an existing competitor, ""this thing happens in every business"".Mr Walsh, who took charge in 2000, and his team have earned praise for turning Aer Lingus around, by cutting air fares and staff, and re-positioning it as a low-fare airline to rival Ryanair.On Wednesday Irish Transport Minister Martin Cullen said in a statement: ""A conflict of interest cannot, should not and will not be allowed to arise between their current roles at Aer Lingus and their future career intentions.""That decision had followed an announcement by Irish Prime Minister Bertie Ahern - who is still considering the future of the airline - which ruled out a proposed management buy-out of Aer Lingus"
US in EU tariff chaos trade row,"""Although the EU is a customs union, there is no single EU customs administration,"" a statement issued on behalf of Robert Zoellick, US Trade Representative, said.The EU's own institutions have noted the uneven way EU customs rules are applied but failed to act, the US Trade Representative's Office said.The US said its trade with the 25 EU member countries was worth $155.2bn (£82.8bn) in 2003.The move came in the same week that the US and EU stepped back from confrontation in a tense dispute over aircraft subsidies to European manufacturer Airbus and US firm Boeing.Explaining why it has asked the WTO to set up a dispute settlement panel on customs barriers, the US Trade Representative's Office said that it wants to tackle the issue ""early in the EU's process of dealing with the problems of enlargement"".Lack of uniformity, coupled with lack of procedures for prompt EU-wide review can hinder US exports, especially for small to mid-sized businesses"", An EU spokesman in Washington dismissed the US complaint"
News Corp eyes video games market,"According to the Financial Times, chief operating officer Peter Chernin said that News Corp is ""kicking the tires of pretty much all video games companies"".Video games are ""big business"", the paper quoted Mr Chernin as saying.News Corp, the media company controlled by Australian billionaire Rupert Murdoch, is eyeing a move into the video games market.And with their price tags reflecting the heavy investment by development companies, video games are proving almost as profitable as they are fun.The success of products such as Sony's Playstation, Microsoft's X-Box and Nintendo's Game Cube have boosted demand for video games"
US Ahold suppliers face charges,"US prosecutors have charged nine food suppliers with helping Dutch retailer Ahold inflate earnings by more than $800m (£428m).The nine now charged, who worked as suppliers to Ahold, are accused of signing false documents relating to the amount of money they paid the retailer for promoting their products in its stores.The suppliers in question are said to have inflated the amount of money they paid, providing auditors with signed letters that allowed Ahold to inflate its earnings.Ahold is the world's fourth-largest supermarket chain.Ahold hit the headlines in February 2003 after it emerged that there were accounting irregularities at its US subsidiary Foodservice.It was less severe than many had envisaged, however, and since then Ahold has worked hard at rebuilding its reputation and investor confidence.At the time of the scandal, Ahold was seen by many as Europe's Enron.Pasquale D'Amuro of the FBI called the nine vendors the key ingredients in ""the process of cooking the books"" at Ahold"
Wal-Mart fights back at accusers,"Meanwhile, drugs group Eli Lilly is planning a campaign against ""false"" claims about its product Prozac.Meanwhile Eli Lilly is launching a series of adverts in a dozen major newspapers, to present what is says are the true facts about its anti-depressant drug Prozac.Wal-Mart kicked off the battle with adverts in newspapers like the Wall Street Journal, using an open letter from company president Lee Scott saying it was time for the public to hear the ""unfiltered truth"".Eli Lilly's chief medical officer Alan Breier said that the article was ""false and misleading"" as the documents it referred to were actually created by officials at the US Food and Drug Administration (FDA) and presented to an FDA meeting in 1991.""I think they are going to have a tough time suddenly overcoming the perceptions of some people,"" said Larry Bevington, chairman of Save Our Community - a group fighting to prevent Wal-Mart opening a store in Rosemead, California.The world's biggest retailer Wal-Mart took out more than 100 full page adverts in national newspapers.Wal-Mart's average pay is almost twice the national minimum wage of $5.15 (£3.90) an hour, while employees are offered health and life insurance, company stock and a retirement plan, the adverts say.""It was simply wrong to suggest that information on Prozac was missing, or that important research data on the benefits and possible side effects of the drug were not available to doctors and regulators,"" the letter added"
US retail sales surge in December,"US retail sales ended the year on a high note with solid gains in December, boosted by strong car sales.Sales for the year also broke through the $4 trillion mark for the first time - with annual sales coming in at $4.06 trillion However, if automotives are excluded from December's data, retail sales rose just 0.3% on the month.Retail sales are seen as a major part of consumer spending - which in turn makes up two-thirds of economic output in the US.During that time, sales grew a lacklustre 2.9% in 2001 and 2.5% a year later.But as well as hitting the shops, more US consumers were going online or using mail order for their purchases - with non-store retailers seeing sales rise by 1.9%.The increase in sales during December pushed total spending for the month to $349.4bn (£265.9bn).Dealers were forced to cut prices in December to maintain sales growth in a tough quarter when the usual end-of-year holiday sales boom was slow to get started.Sales climbed 8% for the year, the best performance since an 8.5% rise in 1999, the Commerce Department added"
Winemaker rejects Foster's offer,"Southcorp said Foster's takeover offer was ""opportunistic"".The two companies held four days of talks after Foster's bought an 18.8% stake in Southcorp on 13 January.Foster's said a combination of the two companies would create a global player with an ""unrivalled"" collection of premium wine brands.Southcorp said Foster's A$4.17-a-share takeover proposal offered a ""excellent strategic fit"" but undervalued the company.""Southcorp's board has informed Foster's that it is not prepared to recommend the offer as it does not adequately reflect the strategic value of the company,"" said Southcorp chairman Brian Finn.""The combination of Foster's and Southcorp will transform the global wine industry and significantly enhance Australia's competitive position on the global stage,"" said Trevor O'Hoy, Foster's chief executive officer"
McDonald's boss Bell dies aged 44,"Mr Bell took over as chief executive after his predecessor as CEO, Jim Cantalupo, died suddenly of a heart attack in April.Mr Bell leaves a wife and daughter.Having worked closely with Mr Cantalupo, who came out of retirement to turn McDonald's around, Mr Bell focused on boosting demand at existing restaurants rather than follow a policy of rapid expansion.Charlie Bell, the straight-talking former head of fast-food giant McDonald's, has died of cancer aged 44.Mr Bell oversaw McDonald's ""I'm lovin' it"" advertising campaign and introduced successes such as McCafe, now the biggest coffee shop brand in Australia and New Zealand.Joining the company as a 15-year-old part-time worker, Mr Bell quickly moved through its ranks, becoming Australia's youngest store manager at 19.Colleagues said that Mr Bell was proud of his humble beginnings, helping out behind cash tills and clearing tables when visiting restaurants"
US industrial output growth eases,"A breakdown of the latest production figures shows mining output drove the increase, surging 2.1%, while factory output rose 0.3%.The US Federal Reserve said output from factories, mines and utilities rose 0.3% - in line with forecasts - from a revised 0.6% increase in October.The US economy grew at a respectable annual rate of 3.7% in the three months between July and September, while jobs growth averaged 178,000 during the same period.Many analysts were upbeat about the prospects for the US economy, with the increase in production coming on the heels of news of a recovery in retail sales.US industrial production continued to rise in November, albeit at a slower pace than the previous month.The latest increase means industrial output has grown 4.2% in the past year"
LSE doubts boost bidders' shares,"In voicing its opposition to the planned takeover, TCI said it would prefer to see Deutsche Boerse return $500m (£350m) to shareholders.Deutsche Boerse said TCI's opposition would not change its bid approach.Another investor in Deutsche Boerse has supported the view that a payout to shareholders would be preferable to Deutsche Boerse overpaying for the LSE, Reuters news agency reported.The Deutsche Boerse was prepared to pay for the LSE ""exceeds the potential benefits of this acquisition"", said TCI.Shares in Deutsche Boerse have risen more than 3% after a shareholder fund voiced opposition to the firm's planned takeover of the London Stock Exchange.""Deutsche Boerse is convinced that its contemplated cash acquisition of the London Stock Exchange is in the best interests of its shareholders and the company,"" it said.TCI has called for Deutsche Boerse to hold an emergency general meeting to discuss the bid for LSE.Another Deutsche Boerse shareholder on Monday also appeared to back TCI's call.The Financial Times also reported a third Deutsche Boerse shareholder as opposed to the deal"
Qantas considers offshore option,"If Qantas were to follow the lead of other airlines moving staff 'offshore' 7,000 jobs could shift overseas, the newspaper reported.In a statement, Qantas said it was looking to build its operations overseas.Unions criticised the possible move - which may affect cabin and maintenance staff - saying Qantas was profitable.Qantas confirmed it was looking at whether it might recruit and source products overseas - potentially through joint ventures - but said it would continue to create jobs in Australia.Australian airline Qantas could transfer as many as 7,000 jobs out of its home country as it seeks to save costs, according to newspaper reports.Unions reacted angrily to the reported disclosure, arguing that Qantas was profitable and did not need to take such action.""We're going to have to get the lowest cost structure we can and that willmean sourcing things more and more from overseas,"" the newspaper quoted Qantas chief executive Geoff Dixon as saying"
Gazprom 'in $36m back-tax claim',"Gazprom is set to merge with state oil firm Rosneft, the company that eventually acquired Yuganskneftegas, the main unit of embattled oil giant Yukos.Gazprom is one of the key players in the complex Russian energy market, where the government of Vladimir Putin has made moves to regain state influence over the sector.The nuclear unit of Russian energy giant Gazprom is reportedly facing a 1bn rouble ($35.7m; £19.1m) back-tax claim for the 2001-2003 period.Gazprom, the biggest gas company in the world, took over nuclear fuel giant Atomstroieksport in October 2004"
Germany calls for EU reform,"Mr Schroeder also called for heads of government to play a larger role in shaping reforms to the pact.Mr Schroeder said existing fiscal rules should be loosened to allow countries to run deficits above the current 3% limit if they met certain criteria.Mr Schroeder - a staunch supporter of the pact when it was set up in the 1990s - said exemptions were now needed to take into account the cost of domestic reform programmes and changing economic conditions.Mr Schroeder's intervention comes ahead of a meeting of the 12 Eurozone finance ministers on Monday to discuss the pact.Writing in the Financial Times, Mr Schroeder also said heads of government should have a greater say in reforms.Deficits should be allowed to rise above 3%, Mr Schroeder argued, if countries meet several ""mandatory criteria"".German Chancellor Gerhard Schroeder has called for radical reform of the EU's stability pact to grant countries more flexibility over their budget deficits"
Parmalat founder offers apology,"The founder and former boss of Parmalat has apologised to investors who lost money as a result of the Italian dairy firm's collapse.Mr Tanzi spent several months in jail in the wake of Parmalat's collapse and was kept under house arrest until last September.He has alleged that these companies were aware of the true state of Parmalat's finances but continued to lend money to the company.Two former Parmalat auditors will stand trial later this month for their role in the firm's collapse.More than 130,000 people lost money following the firm's collapse.Parmalat is now being run by a state appointed administrator, Enrico Bondi, who has launched lawsuits against 80 banks in an effort to recover money for the bankrupt company and its shareholders"
'Golden economic period' to end,"""Whereas the main driver of the economy in recent years has been robust household spending growth, this is likely to suffer as the housing market slowdown gathers pace.""This will result in a marked slowdown in growth in 2005 and 2006 compared to last year, when the economy expanded by 3.25%.Ten years of ""golden"" economic performance may come to an end in 2005 with growth slowing markedly, City consultancy Deloitte has warned.Deloitte is forecasting economic growth of 2% this year, below Chancellor Gordon Brown's forecast of 3% to 3.5%.In its quarterly economic review, Deloitte said the UK economy had enjoyed a ""golden period"" during the past decade with unemployment falling to a near 30 year low and inflation at its lowest since the 1960s.Economic growth is likely to be constrained during the next few years by increased pressure on household budgets and rising taxes, Deloitte believes"
Jobs go at Oracle after takeover,"""By retaining the vast majority of Peoplesoft technical staff, Oracle will have the resources to deliver on the development and support commitments we have made to Peoplesoft customers over the last 18 months,"" Oracle's chief executive Larry Ellison said in a statement.The company said it would retain more than 90% of Peoplesoft product development and product support staff.Oracle has announced it is cutting about 5,000 jobs following the completion of its $10.3bn takeover of its smaller rival Peoplesoft last week.A Peoplesoft sign had been turned into shrine to the company, with flowers, candles and company memorabilia.In a statement, Oracle said it began notifying staff of redundancies on Friday and the process would continue over the next 10 days.""We're mourning the passing of a great company,"" the agency quoted Peoplesoft worker David Ogden as saying.They say Mr Ellison may be trying to placate Peoplesoft customers riled by Oracle's determined takeover strategy.""Peoplesoft had an easygoing, relaxed atmosphere"
Beijingers fume over parking fees,"Mr Wang, who is in charge of collecting car parking fees, said his team would be looking at adjusting parking prices to close the gap.Choking traffic jams in Beijing are prompting officials to look at reorganising car parking charges.The trouble is that the high status of car ownership is matched by expensive fees at indoor car parks, making motorists reluctant to use them.Indoor parking bays can cost up to 250% more than outdoor ones.Indoor parking may be costly, but it is not always secure.""The price differences between indoor and outdoor lots are unreasonable,"" said Wang Yan, an official from the Beijing Municipal Commission for Development and Reform quoted in the state-run China Daily newspaper"
GM issues 2005 profits warning,"GMAC has been a strong contributor to profits in 2004 but GM said it will do less well this year, delivering net income of $2.5bn.GM said it expects to meet its 2004 earnings targets ""despite a tough competitive environment"".GM said higher healthcare costs in North America, and lower profits at its financial services subsidiary would hurt its performance in 2005.GM said it was expecting ""reduced financial losses"" in Europe in 2005.It said it would deliver a shareholder payout of $6.0-$6.5 per share this year, as promised, but that next year's earnings per share would be lower, at between $4.0-$5.0.The car maker has diversified into financial services, and is extending the reach of General Motors Acceptance Corp (GMAC), which has said it may enter the home loans market"
US economy still growing says Fed,"Most areas of the US saw their economy continue to expand in December and early January, the US Federal Reserve said in its latest Beige Book report.The employment picture also improved, the Fed said.""Labour markets firmed in a number of districts, but wage pressures generally remained modest,"" the Beige Book said.Consumer spending was higher in December than November, and festive sales were also up on 2003"
Wall Street cool to eBay's profit,"EBay now forecasts 2005 revenue of $4.2bn to $4.35bn and earnings excluding items of $1.48 to $1.52 per share.Analysts had previously estimated that eBay would achieve 2005 revenues of $4.37bn and earnings of $1.62 per share, excluding items.For 2004 as a whole, eBay earned $778.2m on sales of $3.27bn.Excluding special items, eBay's profit was 33 cents a share, but analysts had expected 34 cents.""I think Wall Street has gotten a bit ahead of eBay this quarter and for the 2005 year."
WorldCom trial starts in New York,"The trial of Bernie Ebbers, former chief executive of bankrupt US phone company WorldCom, has started in New York with the selection of the jury.Mr Ebbers, 63, is accused of being the mastermind behind an $11bn (£6bn) accounting fraud that eventually saw the firm collapse in July 2002.Under Mr Ebbers' leadership, WorldCom emerged from Mississippi obscurity to become a $160bn telecoms giant and the darling of late 1990s investors.Mr Ebbers' trial, which is expected to last two months, is the latest in a series of attempts by US prosecutors to pursue senior executives for fraud.If found guilty, Mr Ebbers could face a substantial jail sentence"
High fuel costs hit US airlines,"""AMR's results for the fourth quarter of 2004 reflect the economic woes that plagued the airline industry throughout 2004 - in particular, high fuel prices and a tough revenue environment,"" he said.American, the world's biggest airline by some measures, said it expected to report a loss for the first quarter of 2005.American Airlines' parent AMR reported a loss of $387m (£206m) for the fourth quarter of 2004, against a $111m loss for the same period a year earlier.Southwest, which has the highest market value of any US carrier, said it would remain profitable despite high fuel prices.Two of the largest airlines in the US - American and Southwest - have blamed record fuel prices for their disappointing quarterly results.Both American and Southwest have been squeezed by cut-throat competition in the US airline industry, as a glut of available seats has led to fierce price reductions"
European losses hit GM's profits,"For the whole of 2004, GM earned $3.7bn, down from $3.8bn in 2003, while its annual revenue rose 4.5% to $193bn.GM's revenues rose 4.7% to $51.2bn from $48.8bn a year earlier.General Motors (GM) saw its net profits fall 37% in the last quarter of 2004, as it continued to be hit by losses at its European operations.The US giant earned $630m (£481.5m) in the October-to-December period, down from $1bn in the fourth quarter of 2003.GM said its profits were also hit by higher healthcare costs in the US"
EU to probe Alitalia 'state aid',"The European Commission has officially launched an in-depth investigation into whether Italian airline Alitalia is receiving illegal state aid.Both the Italian government and Alitalia have repeatedly denied that the money - part of a vital restructuring plan - is state aid.Alitalia already enjoyed state aid in 1997.While Alitalia needs to restructure to bring itself back to profitability, the rival carriers say it has both violated state aid rules and threatened competition.""We now have to verify certain aspects to confirm that this plan contains no state aid.Otherwise, EU regulations on state aid stipulate that governments may help companies financially, but only on the same terms as a commercial investor.The matter of possible state aid was brought to the Commission's attention by eight of Alitalia's rivals, including Germany's Lufthansa, British Airways and Spain's Iberia"
IMF agrees fresh Turkey funding,"However, Turkey has a huge debt burden - already owing $23bn to the IMF - while its current account deficit has swelled to $10.7bn this year.Turkey's current $18.6bn loan agreement with the IMF expires in February and the new deal would see it receive added support between 2005 and 2007.The agreement would also enable Turkey to defer payments on previous loans worth $3.7m until 2006.Turkey has agreed a draft proposal with the International Monetary Fund to borrow $10bn (£5.19bn), extending its ongoing financial support until 2007.As part of the draft agreement, Turkey has signed a ""letter of intent"" stating its determination to push through far-reaching reforms to its tax and benefits system and its banking sector.In return for the funding, Turkey would be expected to keep inflation under control and introduce market reforms"
Saudi investor picks up the Savoy,"He also has substantial stakes in Fairmont Hotels & Resorts, which will manage the Savoy and Simpson's in the Strand, and Four Seasons.Fairmont said it planned to invest $48m (£26m) in renovating parts of the Savoy including the River Room and suites with views over the River Thames.London's famous Savoy hotel has been sold to a group combining Saudi billionaire investor Prince Alwaleed bin Talal and a unit of HBOS bank"
Tsunami slows Sri Lanka's growth,"Meanwhile, the International Monetary Fund (IMF) said damage from the tsunami would cut one percentage point from Sri Lanka's economic growth this year.The IMF said that the Sri Lankan authorities' initial estimates have put the physical damage at $1.3 to $1.5bn, but added that the implications for the economy were much wider than this.President Kumaratunga said it was now important to find a peaceful solution to years of internal conflict.Sri Lanka's president has launched a reconstruction drive worth $3.5bn (£1.8bn) by appealing for peace and national unity.Separately, the International Labour Organisation (ILO) said that at least one million people have lost their livelihoods in Sri Lanka and Indonesia alone.The ILO estimated that 400,000 Sri Lankans have lost their jobs, mostly in these three industries.Reconstruction efforts in eastern Sri Lanka have been hampered by tensions between the two sides.Last week, the IMF approved Sri Lanka's request for a freeze on loan repayments.Growth, inflation, the balance of payments and foreign exchange reserves are all expected to show the effects of lost businesses and reconstruction costs.Earnings from tourism this year are expected to be 15% lower than last year"
China suspends 26 power projects,"The biggest single project to be halted was the Xiluodi Dam project, designed to produce 12,600 MW of electricity.China has ordered a halt to construction work on 26 big power stations, including two at the Three Gorges Dam, on environmental grounds.Second and third on the agency's list were two power stations being built at the $22bn Three Gorges Dam project on the central Yangtze - an underground 4,200 MW power plant and a 100 MW plant.""Construction of these projects has started without approval of the assessment of their environmental impact... they are typical illegal projects of construction first, approval next,"" said SEPA vice-director Pan Yue, in a statement on the agency's website.The government has encouraged construction of new electricity generating capacity to solve chronic energy shortages which forced many factories onto part-time working last year.Topping the list was a controversial dam on the scenic upper Yangtze River.The damming of the Upper Yangtze has also begun to attract criticism from environmentalists in China.The State Environmental Protection Agency said the 26 projects had failed to do proper environmental assessments.Altogether, the agency ordered 30 projects halted.The Three Gorges Dam has proved controversial in China - where more than half a million people have been relocated to make way for it - and abroad"
Two Nigerian banks set to merge,"Nigerian banks United Bank of Africa and Standard Trust Bank have agreed plans to merge and create the biggest bank in West Africa.""The boards of United Bank and Standard Trust, at separate meetings yesterday, approved arrangements to merge both institutions,"" Standard Trust said.Standard Trust is smaller but more profitable"
Virgin Blue shares plummet 20%,"Shares in Australian budget airline Virgin Blue plunged 20% after it warned of a steep fall in full year profits.Virgin Blue said profits after tax for the year to March would be between 10% to 15% lower than the previous year.Virgin Blue reported a 22% fall in first quarter profits in August 2004 due to tough competition.Virgin Blue was launched four years ago and now has roughly one third of Australia's domestic airline market.Virgin Blue, which is 25% owned by Richard Branson, has been struggling to fend off pressure from rival Jetstar"
Watchdog probes Vivendi bond sale,"Vivendi has rejected the charge, saying the decision to buy the Cegetel shares was ""no more than a possibility, of which the public was perfectly aware"" at the time of the bond issue.Vivendi, however, has said that the information was public knowledge as Mr Davis' offer for the US assets had already been rejected by Vivendi's board.French stock market regulator AMF has filed complaints against media giant Vivendi Universal, its boss and another top executive.AMF is also looking into whether the executives knew that Vivendi was considering exercising its right to buy British Telecom's shares in Cegetel.It believes the prospectus for a bond issue was unclear and that executives may have had privileged information.Vivendi advisor Deutsche Bank was also the subject of a complaint filing"
Saudi NCCI's shares soar,"Shares in Saudi Arabia's National Company for Cooperative Insurance (NCCI) soared on their first day of trading in Riyadh.Previously, only NCCI has been legally allowed to offer insurance products within Saudi Arabia.The listing was part of the country's plans to open up its insurance market and boost demand in the sector.Saudi Arabia now wants a fully functioning insurance industry and is introducing legislation that will clamp down on unauthorised companies.Saudi Arabia sold 7 million NCCI shares, or about 70% of the company's total capital last month"
